Rule_Number,ICD_10_Code,Category,Code_Description
Rule 1,T39092A,"Poisoning, intentional self-harm","Poisoning by salicylates, intentional self-harm, initial encounter"
Rule 1,T391X2A,"Poisoning, intentional self-harm","Poisoning by 4-Aminophenol derivatives, intentional self-harm, initial encounter"
Rule 1,T392X2A,"Poisoning, intentional self-harm","Poisoning by pyrazolone derivatives, intentional self-harm, initial encounter"
Rule 1,T39312A,"Poisoning, intentional self-harm","Poisoning by propionic acid derivatives, intentional self-harm, initial encounter"
Rule 1,T39392A,"Poisoning, intentional self-harm","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm, initial encounter"
Rule 1,T394X2A,"Poisoning, intentional self-harm","Poisoning by antirheumatics, not elsewhere classified, intentional self-harm, initial encounter"
Rule 1,T398X2A,"Poisoning, intentional self-harm","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, initial encounter"
Rule 1,T3992XA,"Poisoning, intentional self-harm","Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, intentional self-harm, initial encounter"
Rule 1,T400X2A,"Poisoning, intentional self-harm","Poisoning by opium, intentional self-harm, initial encounter"
Rule 1,T401X2A,"Poisoning, intentional self-harm","Poisoning by heroin, intentional self-harm, initial encounter"
Rule 1,T402X2A,"Poisoning, intentional self-harm","Poisoning by other opioids, intentional self-harm, initial encounter"
Rule 1,T403X2A,"Poisoning, intentional self-harm","Poisoning by methadone, intentional self-harm, initial encounter"
Rule 1,T404X2A,"Poisoning, intentional self-harm","Poisoning by other synthetic narcotics, intentional self-harm, initial encounter"
Rule 1,T405X2A,"Poisoning, intentional self-harm","Poisoning by cocaine, intentional self-harm, initial encounter"
Rule 1,T40602A,"Poisoning, intentional self-harm","Poisoning by unspecified narcotics, intentional self-harm, initial encounter"
Rule 1,T40692A,"Poisoning, intentional self-harm","Poisoning by other narcotics, intentional self-harm, initial encounter"
Rule 1,T407X2A,"Poisoning, intentional self-harm","Poisoning by cannabis (derivatives), intentional self-harm, initial encounter"
Rule 1,T408X2A,"Poisoning, intentional self-harm","Poisoning by lysergide [LSD], intentional self-harm, initial encounter"
Rule 1,T40902A,"Poisoning, intentional self-harm","Poisoning by unspecified psychodysleptics [hallucinogens], intentional self-harm, initial encounter"
Rule 1,T40992A,"Poisoning, intentional self-harm","Poisoning by other psychodysleptics [hallucinogens], intentional self-harm, initial encounter"
Rule 1,T410X2A,"Poisoning, intentional self-harm","Poisoning by inhaled anesthetics, intentional self-harm, initial encounter"
Rule 1,T411X2A,"Poisoning, intentional self-harm","Poisoning by intravenous anesthetics, intentional self-harm, initial encounter"
Rule 1,T41202A,"Poisoning, intentional self-harm","Poisoning by unspecified general anesthetics, intentional self-harm, initial encounter"
Rule 1,T41292A,"Poisoning, intentional self-harm","Poisoning by other general anesthetics, intentional self-harm, initial encounter"
Rule 1,T413X2A,"Poisoning, intentional self-harm","Poisoning by local anesthetics, intentional self-harm, initial encounter"
Rule 1,T4142XA,"Poisoning, intentional self-harm","Poisoning by unspecified anesthetic, intentional self-harm, initial encounter"
Rule 1,T415X2A,"Poisoning, intentional self-harm","Poisoning by therapeutic gases, intentional self-harm, initial encounter"
Rule 1,T420X2A,"Poisoning, intentional self-harm","Poisoning by hydantoin derivatives, intentional self-harm, initial encounter"
Rule 1,T421X2A,"Poisoning, intentional self-harm","Poisoning by iminostilbenes, intentional self-harm, initial encounter"
Rule 1,T422X2A,"Poisoning, intentional self-harm","Poisoning by succinimides and oxazolidinediones, intentional self-harm, initial encounter"
Rule 1,T423X2A,"Poisoning, intentional self-harm","Poisoning by barbiturates, intentional self-harm, initial encounter"
Rule 1,T424X2A,"Poisoning, intentional self-harm","Poisoning by benzodiazepines, intentional self-harm, initial encounter"
Rule 1,T425X2A,"Poisoning, intentional self-harm","Poisoning by mixed antiepileptics, intentional self-harm, initial encounter"
Rule 1,T426X2A,"Poisoning, intentional self-harm","Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter"
Rule 1,T4272XA,"Poisoning, intentional self-harm","Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter"
Rule 1,T428X2A,"Poisoning, intentional self-harm","Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, intentional self-harm, initial encounter"
Rule 1,T43012A,"Poisoning, intentional self-harm","Poisoning by tricyclic antidepressants, intentional self-harm, initial encounter"
Rule 1,T43022A,"Poisoning, intentional self-harm","Poisoning by tetracyclic antidepressants, intentional self-harm, initial encounter"
Rule 1,T431X2A,"Poisoning, intentional self-harm","Poisoning by monoamine-oxidase-inhibitor antidepressants, intentional self-harm, initial encounter"
Rule 1,T43202A,"Poisoning, intentional self-harm","Poisoning by unspecified antidepressants, intentional self-harm, initial encounter"
Rule 1,T43212A,"Poisoning, intentional self-harm","Poisoning by selective serotonin and norepinephrine reuptake inhibitors, intentional self-harm, initial encounter"
Rule 1,T43222A,"Poisoning, intentional self-harm","Poisoning by selective serotonin reuptake inhibitors, intentional self-harm, initial encounter"
Rule 1,T43292A,"Poisoning, intentional self-harm","Poisoning by other antidepressants, intentional self-harm, initial encounter"
Rule 1,T433X2A,"Poisoning, intentional self-harm","Poisoning by phenothiazine antipsychotics and neuroleptics, intentional self-harm, initial encounter"
Rule 1,T434X2A,"Poisoning, intentional self-harm","Poisoning by butyrophenone and thiothixene neuroleptics, intentional self-harm, initial encounter"
Rule 1,T43502A,"Poisoning, intentional self-harm","Poisoning by unspecified antipsychotics and neuroleptics, intentional self-harm, initial encounter"
Rule 1,T43592A,"Poisoning, intentional self-harm","Poisoning by other antipsychotics and neuroleptics, intentional self-harm, initial encounter"
Rule 1,T43602A,"Poisoning, intentional self-harm","Poisoning by unspecified psychostimulants, intentional self-harm, initial encounter"
Rule 1,T43612A,"Poisoning, intentional self-harm","Poisoning by caffeine, intentional self-harm, initial encounter"
Rule 1,T43622A,"Poisoning, intentional self-harm","Poisoning by amphetamines, intentional self-harm, initial encounter"
Rule 1,T43632A,"Poisoning, intentional self-harm","Poisoning by methylphenidate, intentional self-harm, initial encounter"
Rule 1,T43692A,"Poisoning, intentional self-harm","Poisoning by other psychostimulants, intentional self-harm, initial encounter"
Rule 1,T438X2A,"Poisoning, intentional self-harm","Poisoning by other psychotropic drugs, intentional self-harm, initial encounter"
Rule 1,T4392XA,"Poisoning, intentional self-harm","Poisoning by unspecified psychotropic drug, intentional self-harm, initial encounter"
Rule 1,T440X2A,"Poisoning, intentional self-harm","Poisoning by anticholinesterase agents, intentional self-harm, initial encounter"
Rule 1,T441X2A,"Poisoning, intentional self-harm","Poisoning by other parasympathomimetics [cholinergics], intentional self-harm, initial encounter"
Rule 1,T442X2A,"Poisoning, intentional self-harm","Poisoning by ganglionic blocking drugs, intentional self-harm, initial encounter"
Rule 1,T443X2A,"Poisoning, intentional self-harm","Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, intentional self-harm, initial encounter"
Rule 1,T444X2A,"Poisoning, intentional self-harm","Poisoning by predominantly alpha-adrenoreceptor agonists, intentional self-harm, initial encounter"
Rule 1,T445X2A,"Poisoning, intentional self-harm","Poisoning by predominantly beta-adrenoreceptor agonists, intentional self-harm, initial encounter"
Rule 1,T446X2A,"Poisoning, intentional self-harm","Poisoning by alpha-adrenoreceptor antagonists, intentional self-harm, initial encounter"
Rule 1,T447X2A,"Poisoning, intentional self-harm","Poisoning by beta-adrenoreceptor antagonists, intentional self-harm, initial encounter"
Rule 1,T448X2A,"Poisoning, intentional self-harm","Poisoning by centrally-acting and adrenergic-neuron-blocking agents, intentional self-harm, initial encounter"
Rule 1,T44902A,"Poisoning, intentional self-harm","Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm, initial encounter"
Rule 1,T44992A,"Poisoning, intentional self-harm","Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm, initial encounter"
Rule 1,T450X2A,"Poisoning, intentional self-harm","Poisoning by antiallergic and antiemetic drugs, intentional self-harm, initial encounter"
Rule 1,T451X2A,"Poisoning, intentional self-harm","Poisoning by antineoplastic and immunosuppressive drugs, intentional self-harm, initial encounter"
Rule 1,T452X2A,"Poisoning, intentional self-harm","Poisoning by vitamins, intentional self-harm, initial encounter"
Rule 1,T453X2A,"Poisoning, intentional self-harm","Poisoning by enzymes, intentional self-harm, initial encounter"
Rule 1,T454X2A,"Poisoning, intentional self-harm","Poisoning by iron and its compounds, intentional self-harm, initial encounter"
Rule 1,T45512A,"Poisoning, intentional self-harm","Poisoning by anticoagulants, intentional self-harm, initial encounter"
Rule 1,T45522A,"Poisoning, intentional self-harm","Poisoning by antithrombotic drugs, intentional self-harm, initial encounter"
Rule 1,T45602A,"Poisoning, intentional self-harm","Poisoning by unspecified fibrinolysis-affecting drugs, intentional self-harm, initial encounter"
Rule 1,T45612A,"Poisoning, intentional self-harm","Poisoning by thrombolytic drug, intentional self-harm, initial encounter"
Rule 1,T45622A,"Poisoning, intentional self-harm","Poisoning by hemostatic drug, intentional self-harm, initial encounter"
Rule 1,T45692A,"Poisoning, intentional self-harm","Poisoning by other fibrinolysis-affecting drugs, intentional self-harm, initial encounter"
Rule 1,T457X2A,"Poisoning, intentional self-harm","Poisoning by anticoagulant antagonists, vitamin K and other coagulants, intentional self-harm, initial encounter"
Rule 1,T458X2A,"Poisoning, intentional self-harm","Poisoning by other primarily systemic and hematological agents, intentional self-harm, initial encounter"
Rule 1,T4592XA,"Poisoning, intentional self-harm","Poisoning by unspecified primarily systemic and hematological agent, intentional self-harm, initial encounter"
Rule 1,T460X2A,"Poisoning, intentional self-harm","Poisoning by cardiac-stimulant glycosides and drugs of similar action, intentional self-harm, initial encounter"
Rule 1,T461X2A,"Poisoning, intentional self-harm","Poisoning by calcium-channel blockers, intentional self-harm, initial encounter"
Rule 1,T462X2A,"Poisoning, intentional self-harm","Poisoning by other antidysrhythmic drugs, intentional self-harm, initial encounter"
Rule 1,T463X2A,"Poisoning, intentional self-harm","Poisoning by coronary vasodilators, intentional self-harm, initial encounter"
Rule 1,T464X2A,"Poisoning, intentional self-harm","Poisoning by angiotensin-converting-enzyme inhibitors, intentional self-harm, initial encounter"
Rule 1,T465X2A,"Poisoning, intentional self-harm","Poisoning by other antihypertensive drugs, intentional self-harm, initial encounter"
Rule 1,T466X2A,"Poisoning, intentional self-harm","Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, intentional self-harm, initial encounter"
Rule 1,T467X2A,"Poisoning, intentional self-harm","Poisoning by peripheral vasodilators, intentional self-harm, initial encounter"
Rule 1,T468X2A,"Poisoning, intentional self-harm","Poisoning by antivaricose drugs, including sclerosing agents, intentional self-harm, initial encounter"
Rule 1,T46902A,"Poisoning, intentional self-harm","Poisoning by unspecified agents primarily affecting the cardiovascular system, intentional self-harm, initial encounter"
Rule 1,T46992A,"Poisoning, intentional self-harm","Poisoning by other agents primarily affecting the cardiovascular system, intentional self-harm, initial encounter"
Rule 1,T470X2A,"Poisoning, intentional self-harm","Poisoning by histamine H2-receptor blockers, intentional self-harm, initial encounter"
Rule 1,T471X2A,"Poisoning, intentional self-harm","Poisoning by other antacids and anti-gastric-secretion drugs, intentional self-harm, initial encounter"
Rule 1,T472X2A,"Poisoning, intentional self-harm","Poisoning by stimulant laxatives, intentional self-harm, initial encounter"
Rule 1,T473X2A,"Poisoning, intentional self-harm","Poisoning by saline and osmotic laxatives, intentional self-harm, initial encounter"
Rule 1,T474X2A,"Poisoning, intentional self-harm","Poisoning by other laxatives, intentional self-harm, initial encounter"
Rule 1,T475X2A,"Poisoning, intentional self-harm","Poisoning by digestants, intentional self-harm, initial encounter"
Rule 1,T476X2A,"Poisoning, intentional self-harm","Poisoning by antidiarrheal drugs, intentional self-harm, initial encounter"
Rule 1,T477X2A,"Poisoning, intentional self-harm","Poisoning by emetics, intentional self-harm, initial encounter"
Rule 1,T478X2A,"Poisoning, intentional self-harm","Poisoning by other agents primarily affecting gastrointestinal system, intentional self-harm, initial encounter"
Rule 1,T4792XA,"Poisoning, intentional self-harm","Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, initial encounter"
Rule 1,T480X2A,"Poisoning, intentional self-harm","Poisoning by oxytocic drugs, intentional self-harm, initial encounter"
Rule 1,T481X2A,"Poisoning, intentional self-harm","Poisoning by skeletal muscle relaxants [neuromuscular blocking agents], intentional self-harm, initial encounter"
Rule 1,T48202A,"Poisoning, intentional self-harm","Poisoning by unspecified drugs acting on muscles, intentional self-harm, initial encounter"
Rule 1,T48292A,"Poisoning, intentional self-harm","Poisoning by other drugs acting on muscles, intentional self-harm, initial encounter"
Rule 1,T483X2A,"Poisoning, intentional self-harm","Poisoning by antitussives, intentional self-harm, initial encounter"
Rule 1,T484X2A,"Poisoning, intentional self-harm","Poisoning by expectorants, intentional self-harm, initial encounter"
Rule 1,T485X2A,"Poisoning, intentional self-harm","Poisoning by other anti-common-cold drugs, intentional self-harm, initial encounter"
Rule 1,T486X2A,"Poisoning, intentional self-harm","Poisoning by antiasthmatics, intentional self-harm, initial encounter"
Rule 1,T48902A,"Poisoning, intentional self-harm","Poisoning by unspecified agents primarily acting on the respiratory system, intentional self-harm, initial encounter"
Rule 1,T48992A,"Poisoning, intentional self-harm","Poisoning by other agents primarily acting on the respiratory system, intentional self-harm, initial encounter"
Rule 1,T490X2A,"Poisoning, intentional self-harm","Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, intentional self-harm, initial encounter"
Rule 1,T491X2A,"Poisoning, intentional self-harm","Poisoning by antipruritics, intentional self-harm, initial encounter"
Rule 1,T492X2A,"Poisoning, intentional self-harm","Poisoning by local astringents and local detergents, intentional self-harm, initial encounter"
Rule 1,T493X2A,"Poisoning, intentional self-harm","Poisoning by emollients, demulcents and protectants, intentional self-harm, initial encounter"
Rule 1,T494X2A,"Poisoning, intentional self-harm","Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm, initial encounter"
Rule 1,T495X2A,"Poisoning, intentional self-harm","Poisoning by ophthalmological drugs and preparations, intentional self-harm, initial encounter"
Rule 1,T496X2A,"Poisoning, intentional self-harm","Poisoning by otorhinolaryngological drugs and preparations, intentional self-harm, initial encounter"
Rule 1,T497X2A,"Poisoning, intentional self-harm","Poisoning by dental drugs, topically applied, intentional self-harm, initial encounter"
Rule 1,T498X2A,"Poisoning, intentional self-harm","Poisoning by other topical agents, intentional self-harm, initial encounter"
Rule 1,T4992XA,"Poisoning, intentional self-harm","Poisoning by unspecified topical agent, intentional self-harm, initial encounter"
Rule 1,T500X2A,"Poisoning, intentional self-harm","Poisoning by mineralocorticoids and their antagonists, intentional self-harm, initial encounter"
Rule 1,T501X2A,"Poisoning, intentional self-harm","Poisoning by loop [high-ceiling] diuretics, intentional self-harm, initial encounter"
Rule 1,T502X2A,"Poisoning, intentional self-harm","Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, intentional self-harm, initial encounter"
Rule 1,T503X2A,"Poisoning, intentional self-harm","Poisoning by electrolytic, caloric and water-balance agents, intentional self-harm, initial encounter"
Rule 1,T504X2A,"Poisoning, intentional self-harm","Poisoning by drugs affecting uric acid metabolism, intentional self-harm, initial encounter"
Rule 1,T505X2A,"Poisoning, intentional self-harm","Poisoning by appetite depressants, intentional self-harm, initial encounter"
Rule 1,T506X2A,"Poisoning, intentional self-harm","Poisoning by antidotes and chelating agents, intentional self-harm, initial encounter"
Rule 1,T507X2A,"Poisoning, intentional self-harm","Poisoning by analeptics and opioid receptor antagonists, intentional self-harm, initial encounter"
Rule 1,T508X2A,"Poisoning, intentional self-harm","Poisoning by diagnostic agents, intentional self-harm, initial encounter"
Rule 1,T50A12A,"Poisoning, intentional self-harm","Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, initial encounter"
Rule 1,T50A22A,"Poisoning, intentional self-harm","Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, initial encounter"
Rule 1,T50A92A,"Poisoning, intentional self-harm","Poisoning by other bacterial vaccines, intentional self-harm, initial encounter"
Rule 1,T50B12A,"Poisoning, intentional self-harm","Poisoning by smallpox vaccines, intentional self-harm, initial encounter"
Rule 1,T50B92A,"Poisoning, intentional self-harm","Poisoning by other viral vaccines, intentional self-harm, initial encounter"
Rule 1,T50Z12A,"Poisoning, intentional self-harm","Poisoning by immunoglobulin, intentional self-harm, initial encounter"
Rule 1,T50Z92A,"Poisoning, intentional self-harm","Poisoning by other vaccines and biological substances, intentional self-harm, initial encounter"
Rule 1,T50902A,"Poisoning, intentional self-harm","Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm, initial encounter"
Rule 1,T50992A,"Poisoning, intentional self-harm","Poisoning by other drugs, medicaments and biological substances, intentional self-harm, initial encounter"
Rule 1,T510X2A,"Poisoning, intentional self-harm","Toxic effect of ethanol, intentional self-harm, initial encounter"
Rule 1,T511X2A,"Poisoning, intentional self-harm","Toxic effect of methanol, intentional self-harm, initial encounter"
Rule 1,T512X2A,"Poisoning, intentional self-harm","Toxic effect of 2-Propanol, intentional self-harm, initial encounter"
Rule 1,T513X2A,"Poisoning, intentional self-harm","Toxic effect of fusel oil, intentional self-harm, initial encounter"
Rule 1,T518X2A,"Poisoning, intentional self-harm","Toxic effect of other alcohols, intentional self-harm, initial encounter"
Rule 1,T5192XA,"Poisoning, intentional self-harm","Toxic effect of unspecified alcohol, intentional self-harm, initial encounter"
Rule 1,T520X2A,"Poisoning, intentional self-harm","Toxic effect of petroleum products, intentional self-harm, initial encounter"
Rule 1,T521X2A,"Poisoning, intentional self-harm","Toxic effect of benzene, intentional self-harm, initial encounter"
Rule 1,T522X2A,"Poisoning, intentional self-harm","Toxic effect of homologues of benzene, intentional self-harm, initial encounter"
Rule 1,T523X2A,"Poisoning, intentional self-harm","Toxic effect of glycols, intentional self-harm, initial encounter"
Rule 1,T524X2A,"Poisoning, intentional self-harm","Toxic effect of ketones, intentional self-harm, initial encounter"
Rule 1,T528X2A,"Poisoning, intentional self-harm","Toxic effect of other organic solvents, intentional self-harm, initial encounter"
Rule 1,T5292XA,"Poisoning, intentional self-harm","Toxic effect of unspecified organic solvent, intentional self-harm, initial encounter"
Rule 1,T530X2A,"Poisoning, intentional self-harm","Toxic effect of carbon tetrachloride, intentional self-harm, initial encounter"
Rule 1,T531X2A,"Poisoning, intentional self-harm","Toxic effect of chloroform, intentional self-harm, initial encounter"
Rule 1,T532X2A,"Poisoning, intentional self-harm","Toxic effect of trichloroethylene, intentional self-harm, initial encounter"
Rule 1,T533X2A,"Poisoning, intentional self-harm","Toxic effect of tetrachloroethylene, intentional self-harm, initial encounter"
Rule 1,T534X2A,"Poisoning, intentional self-harm","Toxic effect of dichloromethane, intentional self-harm, initial encounter"
Rule 1,T535X2A,"Poisoning, intentional self-harm","Toxic effect of chlorofluorocarbons, intentional self-harm, initial encounter"
Rule 1,T536X2A,"Poisoning, intentional self-harm","Toxic effect of other halogen derivatives of aliphatic hydrocarbons, intentional self-harm, initial encounter"
Rule 1,T537X2A,"Poisoning, intentional self-harm","Toxic effect of other halogen derivatives of aromatic hydrocarbons, intentional self-harm, initial encounter"
Rule 1,T5392XA,"Poisoning, intentional self-harm","Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, intentional self-harm, initial encounter"
Rule 1,T540X2A,"Poisoning, intentional self-harm","Toxic effect of phenol and phenol homologues, intentional self-harm, initial encounter"
Rule 1,T541X2A,"Poisoning, intentional self-harm","Toxic effect of other corrosive organic compounds, intentional self-harm, initial encounter"
Rule 1,T542X2A,"Poisoning, intentional self-harm","Toxic effect of corrosive acids and acid-like substances, intentional self-harm, initial encounter"
Rule 1,T543X2A,"Poisoning, intentional self-harm","Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, initial encounter"
Rule 1,T5492XA,"Poisoning, intentional self-harm","Toxic effect of unspecified corrosive substance, intentional self-harm, initial encounter"
Rule 1,T550X2A,"Poisoning, intentional self-harm","Toxic effect of soaps, intentional self-harm, initial encounter"
Rule 1,T551X2A,"Poisoning, intentional self-harm","Toxic effect of detergents, intentional self-harm, initial encounter"
Rule 1,T560X2A,"Poisoning, intentional self-harm","Toxic effect of lead and its compounds, intentional self-harm, initial encounter"
Rule 1,T561X2A,"Poisoning, intentional self-harm","Toxic effect of mercury and its compounds, intentional self-harm, initial encounter"
Rule 1,T562X2A,"Poisoning, intentional self-harm","Toxic effect of chromium and its compounds, intentional self-harm, initial encounter"
Rule 1,T563X2A,"Poisoning, intentional self-harm","Toxic effect of cadmium and its compounds, intentional self-harm, initial encounter"
Rule 1,T564X2A,"Poisoning, intentional self-harm","Toxic effect of copper and its compounds, intentional self-harm, initial encounter"
Rule 1,T565X2A,"Poisoning, intentional self-harm","Toxic effect of zinc and its compounds, intentional self-harm, initial encounter"
Rule 1,T566X2A,"Poisoning, intentional self-harm","Toxic effect of tin and its compounds, intentional self-harm, initial encounter"
Rule 1,T567X2A,"Poisoning, intentional self-harm","Toxic effect of beryllium and its compounds, intentional self-harm, initial encounter"
Rule 1,T56812A,"Poisoning, intentional self-harm","Toxic effect of thallium, intentional self-harm, initial encounter"
Rule 1,T56892A,"Poisoning, intentional self-harm","Toxic effect of other metals, intentional self-harm, initial encounter"
Rule 1,T5692XA,"Poisoning, intentional self-harm","Toxic effect of unspecified metal, intentional self-harm, initial encounter"
Rule 1,T570X2A,"Poisoning, intentional self-harm","Toxic effect of arsenic and its compounds, intentional self-harm, initial encounter"
Rule 1,T571X2A,"Poisoning, intentional self-harm","Toxic effect of phosphorus and its compounds, intentional self-harm, initial encounter"
Rule 1,T572X2A,"Poisoning, intentional self-harm","Toxic effect of manganese and its compounds, intentional self-harm, initial encounter"
Rule 1,T573X2A,"Poisoning, intentional self-harm","Toxic effect of hydrogen cyanide, intentional self-harm, initial encounter"
Rule 1,T578X2A,"Poisoning, intentional self-harm","Toxic effect of other specified inorganic substances, intentional self-harm, initial encounter"
Rule 1,T5792XA,"Poisoning, intentional self-harm","Toxic effect of unspecified inorganic substance, intentional self-harm, initial encounter"
Rule 1,T5802XA,"Poisoning, intentional self-harm","Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm, initial encounter"
Rule 1,T5812XA,"Poisoning, intentional self-harm","Toxic effect of carbon monoxide from utility gas, intentional self-harm, initial encounter"
Rule 1,T582X2A,"Poisoning, intentional self-harm","Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, intentional self-harm, initial encounter"
Rule 1,T588X2A,"Poisoning, intentional self-harm","Toxic effect of carbon monoxide from other source, intentional self-harm, initial encounter"
Rule 1,T5892XA,"Poisoning, intentional self-harm","Toxic effect of carbon monoxide from unspecified source, intentional self-harm, initial encounter"
Rule 1,T590X2A,"Poisoning, intentional self-harm","Toxic effect of nitrogen oxides, intentional self-harm, initial encounter"
Rule 1,T591X2A,"Poisoning, intentional self-harm","Toxic effect of sulfur dioxide, intentional self-harm, initial encounter"
Rule 1,T592X2A,"Poisoning, intentional self-harm","Toxic effect of formaldehyde, intentional self-harm, initial encounter"
Rule 1,T593X2A,"Poisoning, intentional self-harm","Toxic effect of lacrimogenic gas, intentional self-harm, initial encounter"
Rule 1,T594X2A,"Poisoning, intentional self-harm","Toxic effect of chlorine gas, intentional self-harm, initial encounter"
Rule 1,T595X2A,"Poisoning, intentional self-harm","Toxic effect of fluorine gas and hydrogen fluoride, intentional self-harm, initial encounter"
Rule 1,T596X2A,"Poisoning, intentional self-harm","Toxic effect of hydrogen sulfide, intentional self-harm, initial encounter"
Rule 1,T597X2A,"Poisoning, intentional self-harm","Toxic effect of carbon dioxide, intentional self-harm, initial encounter"
Rule 1,T59812A,"Poisoning, intentional self-harm","Toxic effect of smoke, intentional self-harm, initial encounter"
